CUSTOMER_ID|CARD_ID|OPENING_DATE|EXPIRY_DATE|CLOSING_DATE|CLOSING_REASON
"C122888"|"PC10000145"|2011-02-27|2015-12-31||""
"C122887"|"PC10000146"|2004-11-04|2013-11-30||""
"C122886"|"PC10000147"|2008-04-06|2015-04-30||""
"C122885"|"PC10000148"|2009-05-31|2016-05-31||""
"C122884"|"PC10000149"|2004-11-19|2013-11-30||""
"C122883"|"PC10000150"|2004-12-16|2013-12-31||""
"C122882"|"PC10000151"|2009-02-04|2015-03-31||""
"C122881"|"PC10000152"|2005-05-08|2014-05-31|2013-01-16|""
"C122880"|"PC10000153"|2005-02-09|2014-02-28||""
"C122879"|"PC10000154"|2009-09-02|2013-09-30||""
"C122878"|"PC10000155"|2011-11-26|2016-06-30||""
"C122877"|"PC10000156"|2005-10-06|2014-10-31||""
"C122876"|"PC10000157"|2008-05-17|2015-05-31|2013-04-06|"VOL_CHURN"
"C122875"|"PC10000158"|2005-07-01|2014-07-31||""
"C122874"|"PC10000159"|2010-11-11|2014-11-30||""
"C122873"|"PC10000160"|2007-09-05|2014-09-30||""
"C122872"|"PC10000161"|2010-06-24|2014-06-30||""
"C122871"|"PC10000162"|2005-07-16|2014-07-31||""
"C122870"|"PC10000163"|2008-10-04|2015-10-31||""
"C122869"|"PC10000164"|2005-10-08|2014-10-31||""
"C122868"|"PC10000165"|2006-11-24|2015-12-31||""
"C122867"|"PC10000166"|2005-10-06|2014-10-31||""
"C122866"|"PC10000167"|2005-11-03|2014-11-30||""
"C122865"|"PC10000168"|2009-11-19|2013-11-30||""
"C122864"|"PC10000169"|2005-11-24|2014-11-30|2013-06-28|"VOL_CHURN"
"C122863"|"PC10000170"|2005-12-11|2014-12-31||""
"C122862"|"PC10000171"|2005-11-27|2014-11-30||""
"C122861"|"PC10000172"|2008-09-07|2015-09-30||""
"C122860"|"PC10000173"|2011-11-23|2015-11-30||""
"C122860"|"PC10000174"|2009-10-24|2013-10-31||""
"C122859"|"PC10000175"|2008-04-26|2015-04-30||""
"C122858"|"PC10000176"|2009-12-13|2013-12-31||""
"C122857"|"PC10000177"|2006-04-19|2016-04-30||""
"C122856"|"PC10000178"|2006-03-04|2013-11-30||""
"C122855"|"PC10000179"|2007-06-26|2014-06-30||""
"C122854"|"PC10000180"|2009-05-23|2016-05-31||""
"C122853"|"PC10000181"|2007-06-26|2014-06-30||""
"C122852"|"PC10000182"|2009-04-05|2016-04-30||""
"C122851"|"PC10000183"|2006-04-02|2016-04-30||""
"C122850"|"PC10000184"|2007-02-02|2014-02-28||""
"C122849"|"PC10000185"|2009-03-05|2016-03-31||""
"C122848"|"PC10000186"|2006-06-04|2014-10-31||""
"C122847"|"PC10000187"|2006-04-22|2016-04-30|2012-10-15|"VOL_CHURN"
"C122846"|"PC10000188"|2006-05-13|2016-05-31||""
"C122845"|"PC10000189"|2009-12-12|2013-12-31||""
"C122844"|"PC10000190"|2010-04-04|2014-04-30||""
"C122843"|"PC10000191"|2012-02-16|2016-02-28||""
"C122842"|"PC10000192"|2006-06-11|2016-06-30||""
"C122841"|"PC10000193"|2011-12-16|2015-12-31||""
"C122840"|"PC10000194"|2006-06-23|2016-06-30|2013-05-09|"VOL_CHURN"
"C122839"|"PC10000195"|2006-07-16|2016-07-31||""
"C122838"|"PC10000196"|2006-08-24|2014-07-31||""
"C122837"|"PC10000197"|2008-11-19|2016-06-30||""
"C122836"|"PC10000198"|2006-07-06|2016-07-31||""
"C122835"|"PC10000199"|2011-01-27|2015-01-31||""
"C122834"|"PC10000200"|2006-07-21|2016-07-31||""
"C122833"|"PC10000201"|2011-11-25|2015-11-30||""
"C122832"|"PC10000202"|2007-06-29|2014-06-30||""
"C122832"|"PC10000203"|2006-08-04|2013-08-31||""
"C122831"|"PC10000204"|2006-09-09|2016-06-30||""
"C122830"|"PC10000205"|2009-07-04|2016-07-31||""
"C122829"|"PC10000206"|2006-09-15|2016-03-31||""
"C122828"|"PC10000207"|2008-02-12|2015-12-31||""
"C122827"|"PC10000208"|2010-12-23|2014-12-31||""
"C122826"|"PC10000209"|2008-10-29|2016-07-31||""
"C122825"|"PC10000210"|2006-09-29|2013-09-30||""
"C122824"|"PC10000211"|2009-05-24|2016-05-31||""
"C122823"|"PC10000212"|2009-12-10|2013-12-31|2013-04-03|"VOL_CHURN"
"C122822"|"PC10000213"|2007-06-16|2014-06-30||""
"C122822"|"PC10000214"|2006-11-17|2013-11-30||""
"C122821"|"PC10000215"|2007-04-05|2014-04-30||""
"C122820"|"PC10000216"|2007-04-14|2014-04-30||""
"C122819"|"PC10000217"|2011-12-14|2015-12-31||""
"C122818"|"PC10000218"|2010-10-31|2014-10-31||""
"C122817"|"PC10000219"|2008-01-17|2015-01-31||""
"C122816"|"PC10000220"|2007-03-29|2014-03-31||""
"C122815"|"PC10000221"|2005-02-24|2014-02-28|2013-06-15|"VOL_CHURN"
"C122814"|"PC10000222"|2008-07-11|2015-07-31||""
"C122813"|"PC10000223"|2012-02-28|2016-02-28||""
"C122812"|"PC10000224"|2007-06-23|2014-06-30||""
"C122811"|"PC10000225"|2007-06-28|2014-06-30||""
"C122810"|"PC10000226"|2007-06-28|2014-06-30||""
"C122809"|"PC10000227"|2009-05-17|2014-05-31||""
"C122808"|"PC10000228"|2007-07-13|2014-07-31||""
"C122807"|"PC10000229"|2007-07-13|2014-07-31||""
"C122806"|"PC10000230"|2011-05-03|2015-05-31||""
"C122805"|"PC10000231"|2007-09-04|2014-09-30||""
"C122804"|"PC10000232"|2008-02-08|||""
"C122803"|"PC10000233"|2012-01-28|2016-01-31||""
"C122802"|"PC10000234"|2008-01-08|2015-04-30||""
"C122801"|"PC10000235"|2009-11-11|2013-11-30||""
"C122800"|"PC10000236"|2011-08-12|2015-08-31||""
"C122799"|"PC10000237"|2011-11-11|2015-11-30||""
"C122798"|"PC10000238"|2007-09-14|2015-07-31||""
"C122797"|"PC10000239"|2008-07-05|2015-07-31||""
"C122796"|"PC10000240"|2008-10-11|2013-08-31||""
"C122795"|"PC10000241"|2007-10-06|2015-09-30||""
"C122794"|"PC10000242"|2009-03-04|2014-03-31||""
"C122793"|"PC10000243"|2011-12-13|2015-12-31||""
"C122792"|"PC10000244"|2008-07-20|2015-07-31||""
"C122791"|"PC10000245"|2008-07-12|2016-04-30||""
"C122790"|"PC10000246"|2010-08-18|2014-08-31||""
"C122789"|"PC10000247"|2012-03-29|2016-03-31||""
"C122788"|"PC10000248"|2009-11-28|2013-11-30||""
"C122787"|"PC10000249"|2007-12-18|2014-12-31||""
"C122786"|"PC10000250"|2008-01-12|2013-11-30||""
"C122785"|"PC10000251"|2008-01-11|2015-01-31||""
"C122784"|"PC10000252"|2008-09-25|2015-09-30|2013-06-23|"VOL_CHURN"
"C122783"|"PC10000253"|2009-02-27|2016-02-28||""
"C122782"|"PC10000254"|2008-02-05|||""
"C122781"|"PC10000255"|2008-11-01|2015-11-30||""
"C122780"|"PC10000256"|2011-05-28|2015-05-31||""
"C122779"|"PC10000257"|2008-12-17|2015-12-31||""
"C122778"|"PC10000258"|2009-05-13|2014-03-31||""
"C122777"|"PC10000259"|2009-07-03|2016-07-31||""
"C122776"|"PC10000260"|2011-07-15|2015-07-31||""
"C122775"|"PC10000261"|2008-06-14|2015-06-30||""
"C122774"|"PC10000262"|2008-04-27|2015-04-30||""
"C122773"|"PC10000263"|2012-01-17|2016-01-31||""
"C122772"|"PC10000264"|2012-03-31|2013-12-31||""
"C122771"|"PC10000265"|2009-06-17|2016-06-30||""
"C122770"|"PC10000266"|2011-02-04|||""
"C122769"|"PC10000267"|2009-07-23|2016-07-31||""
"C122768"|"PC10000268"|2011-06-25|2015-06-30||""
"C122767"|"PC10000269"|2011-03-29|2015-03-31||""
"C122766"|"PC10000270"|2009-05-17|2014-05-31|2013-03-22|"VOL_CHURN"
"C122766"|"PC10000271"|2008-07-23|2015-07-31||""
"C122765"|"PC10000272"|2011-10-22|2015-10-31||""
"C122764"|"PC10000273"|2010-01-14|2014-01-31||""
"C122763"|"PC10000274"|2004-11-24|2013-11-30||""
"C122762"|"PC10000275"|2010-12-29|2014-12-31||""
"C122761"|"PC10000276"|2010-07-30|2014-07-31|2013-05-16|"VOL_CHURN"
"C122760"|"PC10000277"|2010-02-19|2014-02-28||""
"C122759"|"PC10000278"|2008-10-04|2015-10-31||""
"C122758"|"PC10000279"|2010-05-22|2014-05-31||""
"C122757"|"PC10000280"|2011-11-15|2015-11-30||""
"C122756"|"PC10000281"|2011-12-16|2015-12-31||""
"C122755"|"PC10000282"|2008-11-26|2013-09-30||""
"C122754"|"PC10000283"|2008-10-30|2015-10-31||""
"C122753"|"PC10000284"|2011-01-30|2015-01-31||""
"C122752"|"PC10000285"|2010-07-03|2014-07-31||""
"C122751"|"PC10000286"|2009-05-24|2016-05-31||""
"C122750"|"PC10000287"|2012-03-18|2016-03-31||""
"C122749"|"PC10000288"|2009-02-21|2016-02-28||""
"C122748"|"PC10000289"|2011-05-28|2015-05-31||""
"C122747"|"PC10000290"|2011-06-03|2015-06-30||""
"C122746"|"PC10000291"|2010-05-08|2014-05-31|2013-03-28|"VOL_CHURN"
"C122745"|"PC10000292"|2009-06-14|2016-06-30||""
"C122744"|"PC10000293"|2010-09-24|2014-09-30||""
"C122743"|"PC10000294"|2010-05-27|2014-05-31|2013-06-25|"VOL_CHURN"
"C122742"|"PC10000295"|2009-03-06|||""
"C122741"|"PC10000296"|2011-06-10|2015-06-30|2013-06-11|"VOL_CHURN"
"C122740"|"PC10000297"|2010-08-05|2014-08-31||""
"C122739"|"PC10000298"|2009-04-15|2016-04-30||""
"C122738"|"PC10000299"|2009-04-24|2016-04-30||""
"C122737"|"PC10000300"|2009-11-25|2013-11-30||""
"C122736"|"PC10000301"|2010-10-09|2014-10-31|2013-05-18|"VOL_CHURN"
"C122735"|"PC10000302"|2009-05-30|2016-05-31||""
"C122734"|"PC10000303"|2010-01-15|2014-01-31|2013-04-27|"VOL_CHURN"
"C122733"|"PC10000304"|2010-11-03|2014-11-30||""
"C122732"|"PC10000305"|2011-09-21|2013-09-30||""
"C122731"|"PC10000306"|2009-07-29|2016-07-31||""
"C122730"|"PC10000307"|2011-12-17|2015-12-31||""
"C122729"|"PC10000308"|2011-12-21|2015-12-31||""
"C122728"|"PC10000309"|2009-11-08|2013-11-30||""
"C122727"|"PC10000310"|2011-09-16|2015-09-30||""
"C122726"|"PC10000311"|2010-06-13|2014-06-30||""
"C122725"|"PC10000312"|2010-06-19|2016-03-31||""
"C122724"|"PC10000313"|2009-12-10|2013-12-31||""
"C122723"|"PC10000314"|2009-08-01|2013-08-31|2013-05-13|"VOL_CHURN"
"C122722"|"PC10000315"|2009-08-02|2013-08-31||""
"C122721"|"PC10000316"|2011-03-05|2015-03-31||""
"C122720"|"PC10000317"|2009-08-30|2013-08-31||""
"C122719"|"PC10000318"|2010-03-27|2014-03-31||""
"C122718"|"PC10000319"|2010-07-29|2014-07-31||""
"C122717"|"PC10000320"|2009-09-18|2013-09-30||""
"C122716"|"PC10000321"|2010-04-17|2014-04-30||""
"C122715"|"PC10000322"|2009-09-20|2013-09-30||""
"C122714"|"PC10000323"|2010-06-03|2014-06-30||""
"C122713"|"PC10000324"|2011-11-25|2015-11-30||""
"C122712"|"PC10000325"|2009-12-06|2013-12-31||""
"C122711"|"PC10000326"|2009-11-18|2013-11-30||""
"C122710"|"PC10000327"|2011-05-27|2015-05-31||""
"C122709"|"PC10000328"|2010-09-12|2014-09-30||""
"C122708"|"PC10000329"|2010-06-10|2014-06-30||""
"C122707"|"PC10000330"|2010-07-15|2014-07-31||""
"C122706"|"PC10000331"|2009-12-10|2013-12-31||""
"C122705"|"PC10000332"|2009-12-11|2013-12-31||""
"C122704"|"PC10000333"|2011-07-09|2015-07-31||""
"C122703"|"PC10000334"|2009-12-17|2013-12-31||""
"C122702"|"PC10000335"|2010-03-24|2014-03-31||""
"C122701"|"PC10000336"|2010-10-03|2014-10-31||""
"C122700"|"PC10000337"|2010-03-21|2014-03-31||""
"C122699"|"PC10000338"|2011-11-30|2015-11-30||""
"C122698"|"PC10000339"|2011-03-23|2015-03-31|2013-04-03|"VOL_CHURN"
"C122697"|"PC10000340"|2010-04-15|2014-04-30||""
"C122696"|"PC10000341"|2010-05-06|2014-05-31||""
"C122695"|"PC10000342"|2010-05-02|2014-05-31||""
"C122694"|"PC10000343"|2010-05-08|2014-05-31||""
"C122693"|"PC10000344"|2011-09-08|2015-09-30||""
"C122692"|"PC10000345"|2011-12-01|2015-12-31||""
"C122691"|"PC10000346"|2010-05-21|2014-05-31||""
"C122690"|"PC10000347"|2010-10-20|2014-10-31|2013-03-02|"VOL_CHURN"
"C122689"|"PC10000348"|2011-12-13|2015-12-31||""
"C122688"|"PC10000349"|2011-04-27|2015-04-30|2013-02-08|"VOL_CHURN"
"C122687"|"PC10000350"|2011-03-09|2015-03-31||""
"C122686"|"PC10000351"|2010-07-08|2014-07-31|2013-06-24|"VOL_CHURN"
"C122685"|"PC10000352"|2010-07-14|2014-07-31||""
"C122684"|"PC10000353"|2011-12-06|2015-12-31||""
"C122683"|"PC10000354"|2010-07-14|2014-07-31||""
"C122682"|"PC10000355"|2012-03-09|2016-03-31||""
"C122681"|"PC10000356"|2011-12-20|2015-12-31|2013-06-06|"VOL_CHURN"
"C122680"|"PC10000357"|2012-02-10|2016-02-28||""
"C122679"|"PC10000358"|2010-08-04|2015-06-30||""
"C122678"|"PC10000359"|2010-08-27|2016-07-31||""
"C122677"|"PC10000360"|2011-10-12|2015-10-31||""
"C122676"|"PC10000361"|2011-12-14|2015-12-31|2013-06-22|"VOL_CHURN"
"C122675"|"PC10000362"|2010-09-08|2014-09-30|2013-06-07|"VOL_CHURN"
"C122674"|"PC10000363"|2012-03-17|2016-03-31||""
"C122673"|"PC10000364"|2011-01-22|2015-01-31||""
"C122672"|"PC10000365"|2010-09-09|2014-09-30||""
"C122671"|"PC10000366"|2010-09-16|2014-09-30||""
"C122670"|"PC10000367"|2010-09-24|2015-08-31||""
"C122669"|"PC10000368"|2010-09-23|2014-09-30||""
"C122668"|"PC10000369"|2010-09-30|2014-09-30||""
"C122667"|"PC10000370"|2010-11-11|2014-11-30||""
"C122666"|"PC10000371"|2010-11-10|2013-09-30||""
"C122665"|"PC10000372"|2010-11-19|2014-11-30||""
"C122664"|"PC10000373"|2011-02-12|||""
"C122663"|"PC10000374"|2010-12-09|2015-05-31||""
"C122662"|"PC10000375"|2007-07-24|2014-07-31||""
"C122661"|"PC10000376"|2012-02-25|2016-02-28||""
"C122660"|"PC10000377"|2012-03-30|2016-03-31||""
"C122659"|"PC10000378"|2011-06-21|2016-06-30||""
"C122658"|"PC10000379"|2011-02-10|||""
"C122657"|"PC10000380"|2011-12-29|2015-12-31||""
"C122656"|"PC10000381"|2011-02-27|||""
"C122655"|"PC10000382"|2011-06-24|2015-06-30||""
"C122654"|"PC10000383"|2011-03-03|2015-03-31||""
"C122653"|"PC10000384"|2011-10-25|2015-11-30||""
"C122652"|"PC10000385"|2012-02-04|2016-02-28|2013-06-14|"VOL_CHURN"
"C122651"|"PC10000386"|2011-08-26|2016-06-30||""
"C122650"|"PC10000387"|2011-12-06|2015-12-31||""
"C122649"|"PC10000388"|2012-01-11|2016-01-31||""
"C122648"|"PC10000389"|2011-07-23|2015-07-31|2013-06-26|"VOL_CHURN"
"C122647"|"PC10000390"|2011-06-15|2015-06-30||""
"C122646"|"PC10000391"|2011-08-31|2015-08-31||""
"C122645"|"PC10000392"|2011-12-31|2015-12-31||""
"C122644"|"PC10000393"|2011-06-28|2015-06-30||""
"C122643"|"PC10000394"|2012-02-15|2016-02-28||""
"C122642"|"PC10000395"|2011-07-28|2016-06-30||""
"C122641"|"PC10000396"|2011-09-23|2015-09-30||""
"C122640"|"PC10000397"|2011-08-23|2015-08-31||""
"C122639"|"PC10000398"|2011-08-24|2016-05-31||""
"C122638"|"PC10000399"|2011-08-31|2015-08-31|2013-06-08|""
"C122637"|"PC10000400"|2011-09-03|2015-09-30||""
"C122636"|"PC10000401"|2011-08-30|2015-08-31||""
"C122635"|"PC10000402"|2011-09-07|2014-09-30||""
"C122634"|"PC10000403"|2011-09-16|2015-09-30||""
"C122633"|"PC10000404"|2011-09-09|2015-09-30||""
"C122632"|"PC10000405"|2011-09-21|2016-06-30||""
"C122631"|"PC10000406"|2011-10-19|2015-10-31||""
"C122630"|"PC10000407"|2011-11-11|2015-11-30||""
"C122629"|"PC10000408"|2011-12-20|2013-10-31||""
"C122628"|"PC10000409"|2012-03-08|2016-03-31||""
"C122627"|"PC10000410"|2012-01-03|2016-01-31||""
"C122626"|"PC10000411"|2006-06-30|2016-01-31||""
"C122625"|"PC10000412"|2012-01-24|2016-01-31||""
"C122624"|"PC10000413"|2012-01-25|2016-01-31||""
"C122623"|"PC10000414"|2012-01-27|2016-01-31||""
"C122622"|"PC10000415"|2012-03-16|2016-03-31||""
"C122621"|"PC10000416"|2012-02-11|2016-02-28||""
"C122620"|"PC10000417"|2012-03-07|2016-03-31|2013-06-22|"VOL_CHURN"
"C122619"|"PC10000418"|2012-03-16|2016-03-31||""
"C122618"|"PC10000419"|2006-06-23|2016-04-30||""
"C122617"|"PC10000420"|2001-11-09|2014-04-30||""
"C122616"|"PC10000421"|1999-06-10|2015-06-30||""
"C122616"|"PC10000422"|1995-12-29|2013-12-31||""
"C122615"|"PC10000423"|1999-01-27|2014-02-28||""
"C122614"|"PC10000424"|2006-01-07|2015-01-31||""
"C122613"|"PC10000425"|2004-05-26|2014-05-31||""
"C122612"|"PC10000426"|1999-01-20|2014-01-31||""
"C122611"|"PC10000427"|2001-11-25|2014-02-28||""
"C122610"|"PC10000428"|2009-06-19|2016-06-30||""
"C122609"|"PC10000429"|2004-04-04|2014-04-30||""
"C122608"|"PC10000430"|1999-02-20|2014-08-31||""
"C122607"|"PC10000431"|2003-05-31|2014-05-31||""
"C122606"|"PC10000432"|2009-02-07|2013-10-31||""
"C122605"|"PC10000433"|2002-10-26|2015-04-30||""
"C122604"|"PC10000434"|2002-12-07|2016-03-31||""
"C122603"|"PC10000435"|2009-06-20|2016-06-30||""
"C122602"|"PC10000436"|2006-02-01|||""
"C122601"|"PC10000437"|1997-09-07|2014-04-30||""
"C122600"|"PC10000438"|2012-03-24|2014-03-31||""
"C122599"|"PC10000439"|1998-12-05|2014-10-31||""
"C122599"|"PC10000440"|1996-04-05|2015-07-31|2013-06-20|"VOL_CHURN"
"C122598"|"PC10000441"|1999-01-20|2014-09-30||""
"C122597"|"PC10000442"|2007-08-18|2014-08-31||""
"C122596"|"PC10000443"|2006-01-14|2015-03-31||""
"C122595"|"PC10000444"|2009-05-17|2015-08-31||""
